"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",50,"large","M0","Other",6
"mrgn","truth","model",50,"large","M1","Other",14
"mrgn","truth","model",50,"large","M2","Other",5
"mrgn","truth","model",50,"large","M3","Other",5
"mrgn","truth","model",50,"large","M4","Other",12
"mrgn","truth","edge",50,"large","M0","T1 - T2 Edge Absent",14
"mrgn","truth","edge",50,"large","M1","T1 - T2 Edge Absent",0
"mrgn","truth","edge",50,"large","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"large","M3","T1 - T2 Edge Absent",15
"mrgn","truth","edge",50,"large","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"large","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"large","M1","T1 - T2 Edge Present",6
"mrgn","truth","edge",50,"large","M2","T1 - T2 Edge Present",13
"mrgn","truth","edge",50,"large","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"large","M4","T1 - T2 Edge Present",6
"mrgn","truth","edge",50,"large","M0","Other",6
"mrgn","truth","edge",50,"large","M1","Other",14
"mrgn","truth","edge",50,"large","M2","Other",5
"mrgn","truth","edge",50,"large","M3","Other",5
"mrgn","truth","edge",50,"large","M4","Other",12
"mrgn","truth","model",150,"all","M0","M0",44
"mrgn","truth","model",150,"all","M1","M0",4
"mrgn","truth","model",150,"all","M2","M0",1
"mrgn","truth","model",150,"all","M3","M0",8
"mrgn","truth","model",150,"all","M4","M0",5
"mrgn","truth","model",150,"all","M0","M1",0
"mrgn","truth","model",150,"all","M1","M1",36
"mrgn","truth","model",150,"all","M2","M1",23
"mrgn","truth","model",150,"all","M3","M1",0
"mrgn","truth","model",150,"all","M4","M1",31
"mrgn","truth","model",150,"all","M0","M2",0
"mrgn","truth","model",150,"all","M1","M2",0
"mrgn","truth","model",150,"all","M2","M2",15
"mrgn","truth","model",150,"all","M3","M2",0
"mrgn","truth","model",150,"all","M4","M2",0
"mrgn","truth","model",150,"all","M0","M3",0
