"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","CSa",1054,50,"small","M3",0.0186581611633301,FALSE,FALSE
"MRGN","CSa",1055,50,"small","M4",0.0295600891113281,FALSE,FALSE
"MRGN","CSa",1056,150,"small","M0.1",0.0498249530792236,FALSE,FALSE
"MRGN","CSa",1057,150,"small","M1.1",0.0259568691253662,FALSE,FALSE
"MRGN","CSa",1058,150,"small","M2.1",0.0232980251312256,FALSE,FALSE
"MRGN","CSa",1059,150,"small","M3",0.027008056640625,FALSE,FALSE
"MRGN","CSa",1060,150,"small","M4",0.0266788005828857,FALSE,FALSE
"MRGN","CSa",1061,300,"small","M0.1",0.0322980880737305,FALSE,FALSE
"MRGN","CSa",1062,300,"small","M1.1",0.0335588455200195,FALSE,FALSE
"MRGN","CSa",1063,300,"small","M2.1",0.0338919162750244,FALSE,FALSE
"MRGN","CSa",1064,300,"small","M3",0.0574159622192383,FALSE,FALSE
"MRGN","CSa",1065,300,"small","M4",0.0610759258270264,FALSE,FALSE
"MRGN","CSa",1066,670,"small","M0.1",0.0360620021820068,FALSE,FALSE
"MRGN","CSa",1067,670,"small","M1.1",0.0401229858398438,FALSE,FALSE
"MRGN","CSa",1068,670,"small","M2.1",0.04721999168396,FALSE,FALSE
"MRGN","CSa",1069,670,"small","M3",0.0271539688110352,FALSE,FALSE
"MRGN","CSa",1070,670,"small","M4",0.0346879959106445,FALSE,FALSE
"MRGN","CSa",1071,1000,"small","M0.1",0.0665791034698486,FALSE,FALSE
"MRGN","CSa",1072,1000,"small","M1.1",0.136532068252563,FALSE,FALSE
"MRGN","CSa",1073,1000,"small","M2.1",0.0888090133666992,FALSE,FALSE
"MRGN","CSa",1074,1000,"small","M3",0.151581048965454,FALSE,FALSE
"MRGN","CSa",1075,1000,"small","M4",0.0911450386047363,FALSE,FALSE
"MRGN","CSa",1076,50,"medium","M0.1",0.0219659805297852,FALSE,FALSE
"MRGN","CSa",1077,50,"medium","M1.1",0.0193760395050049,FALSE,FALSE
"MRGN","CSa",1078,50,"medium","M2.1",0.0184972286224365,FALSE,FALSE
"MRGN","CSa",1079,50,"medium","M3",0.0289919376373291,FALSE,FALSE
"MRGN","CSa",1080,50,"medium","M4",0.0445051193237305,FALSE,FALSE
"MRGN","CSa",1081,150,"medium","M0.1",0.0678629875183105,FALSE,FALSE
"MRGN","CSa",1082,150,"medium","M1.1",0.0327699184417725,FALSE,FALSE
"MRGN","CSa",1083,150,"medium","M2.1",0.0341320037841797,FALSE,FALSE
"MRGN","CSa",1084,150,"medium","M3",0.0275578498840332,FALSE,FALSE
"MRGN","CSa",1085,150,"medium","M4",0.0330331325531006,FALSE,FALSE
"MRGN","CSa",1086,300,"medium","M0.1",0.0723910331726074,FALSE,FALSE
"MRGN","CSa",1087,300,"medium","M1.1",0.0530650615692139,FALSE,FALSE
"MRGN","CSa",1088,300,"medium","M2.1",0.0334670543670654,FALSE,FALSE
"MRGN","CSa",1089,300,"medium","M3",0.0378220081329346,FALSE,FALSE
"MRGN","CSa",1090,300,"medium","M4",0.0276880264282227,FALSE,FALSE
"MRGN","CSa",1091,670,"medium","M0.1",0.0391998291015625,FALSE,FALSE
"MRGN","CSa",1092,670,"medium","M1.1",0.0262131690979004,FALSE,FALSE
"MRGN","CSa",1093,670,"medium","M2.1",0.0309040546417236,FALSE,FALSE
"MRGN","CSa",1094,670,"medium","M3",0.046504020690918,FALSE,FALSE
"MRGN","CSa",1095,670,"medium","M4",0.030040979385376,FALSE,FALSE
"MRGN","CSa",1096,1000,"medium","M0.1",0.130245923995972,FALSE,FALSE
"MRGN","CSa",1097,1000,"medium","M1.1",0.0494210720062256,FALSE,FALSE
"MRGN","CSa",1098,1000,"medium","M2.1",0.0438470840454102,FALSE,FALSE
"MRGN","CSa",1099,1000,"medium","M3",0.0459640026092529,FALSE,FALSE
"MRGN","CSa",1100,1000,"medium","M4",0.0352160930633545,FALSE,FALSE
"MRGN","CSa",1101,50,"large","M0.1",0.0266280174255371,FALSE,FALSE
"MRGN","CSa",1102,50,"large","M1.1",0.0314919948577881,FALSE,FALSE
"MRGN","CSa",1103,50,"large","M2.1",0.0232961177825928,FALSE,FALSE
