"method","sample_size","effect_size","metric","observed","denominator","boot_lo95","boot_q1","boot_median","boot_q3","boot_hi95","n_resamples"
"MR-GGI",1000,"medium","Precision",0.822222222222222,45,0.745098039215686,0.795454545454545,0.822222222222222,0.851063829787234,0.906976744186046,2000
"MR-GGI",1000,"medium","Recall",0.616666666666667,60,0.55,0.6,0.616666666666667,0.65,0.683333333333333,2000
"MR-GGI",1000,"large","Precision",0.714285714285714,56,0.677966101694915,0.701754385964912,0.714285714285714,0.727272727272727,0.769230769230769,2000
"MR-GGI",1000,"large","Recall",0.666666666666667,60,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,2000
"GMAC",50,"small","Precision",0.583333333333333,36,0.451612903225806,0.540540540540541,0.581395348837209,0.625,0.705918220946915,2000
"GMAC",50,"small","Recall",0.35,60,0.233333333333333,0.316666666666667,0.35,0.383333333333333,0.466666666666667,2000
"GMAC",50,"medium","Precision",0.755102040816326,49,0.66,0.723404255319149,0.755555555555556,0.788461538461538,0.850026595744681,2000
"GMAC",50,"medium","Recall",0.616666666666667,60,0.5,0.583333333333333,0.616666666666667,0.666666666666667,0.733333333333333,2000
"GMAC",50,"large","Precision",0.80952380952381,63,0.733333333333333,0.782608695652174,0.80952380952381,0.833333333333333,0.890625,2000
"GMAC",50,"large","Recall",0.85,60,0.75,0.816666666666667,0.85,0.883333333333333,0.933333333333333,2000
"GMAC",150,"small","Precision",0.632352941176471,68,0.569230769230769,0.610334580673564,0.632352941176471,0.655313736574336,0.7,2000
"GMAC",150,"small","Recall",0.716666666666667,60,0.6,0.683333333333333,0.716666666666667,0.75,0.833333333333333,2000
"GMAC",150,"medium","Precision",0.652173913043478,69,0.587301587301587,0.63013698630137,0.651515151515151,0.671939036885246,0.716707746478873,2000
"GMAC",150,"medium","Recall",0.75,60,0.633333333333333,0.716666666666667,0.75,0.783333333333333,0.85,2000
"GMAC",150,"large","Precision",0.746835443037975,79,0.69047619047619,0.728395061728395,0.746835443037975,0.766233766233766,0.810810810810811,2000
"GMAC",150,"large","Recall",0.983333333333333,60,0.95,0.966666666666667,0.983333333333333,1,1,2000
"GMAC",300,"small","Precision",0.552238805970149,67,0.484836647727273,0.531013257575758,0.550724637681159,0.573333333333333,0.611940298507463,2000
"GMAC",300,"small","Recall",0.616666666666667,60,0.5,0.566666666666667,0.616666666666667,0.654166666666667,0.733333333333333,2000
"GMAC",300,"medium","Precision",0.6625,80,0.614437294633078,0.645569620253165,0.6625,0.67948717948718,0.710843373493976,2000
"GMAC",300,"medium","Recall",0.883333333333333,60,0.8,0.85,0.883333333333333,0.916666666666667,0.966666666666667,2000
"GMAC",300,"large","Precision",0.702380952380952,84,0.655555555555556,0.686046511627907,0.702380952380952,0.719512195121951,0.756410256410256,2000
"GMAC",300,"large","Recall",0.983333333333333,60,0.95,0.966666666666667,0.983333333333333,1,1,2000
"GMAC",670,"small","Precision",0.564102564102564,78,0.513157894736842,0.546666666666667,0.564102564102564,0.581568899687608,0.611764705882353,2000
"GMAC",670,"small","Recall",0.733333333333333,60,0.616666666666667,0.7,0.733333333333333,0.766666666666667,0.833333333333333,2000
"GMAC",670,"medium","Precision",0.681818181818182,88,0.645161290322581,0.666666666666667,0.681818181818182,0.697674418604651,0.731707317073171,2000
"GMAC",670,"medium","Recall",1,60,1,1,1,1,1,2000
"GMAC",670,"large","Precision",0.72289156626506,83,0.674157303370786,0.705882352941177,0.72289156626506,0.740740740740741,0.779220779220779,2000
"GMAC",670,"large","Recall",1,60,1,1,1,1,1,2000
"GMAC",1000,"small","Precision",0.578313253012048,83,0.538461538461538,0.564102564102564,0.578313253012048,0.592592592592593,0.620253164556962,2000
"GMAC",1000,"small","Recall",0.8,60,0.7,0.766666666666667,0.8,0.833333333333333,0.883333333333333,2000
"GMAC",1000,"medium","Precision",0.705882352941177,85,0.659340659340659,0.689655172413793,0.705882352941177,0.72289156626506,0.759493670886076,2000
"GMAC",1000,"medium","Recall",1,60,1,1,1,1,1,2000
"GMAC",1000,"large","Precision",0.731707317073171,82,0.681818181818182,0.714285714285714,0.731707317073171,0.75,0.789473684210526,2000
"GMAC",1000,"large","Recall",1,60,1,1,1,1,1,2000
