"method","arm","scope","n_trios","n_timed_out","n_stalled","n_scored","min","q1","median","q3","iqr","max","mean","total_hours"
"MRGN","CSa","150",300,0,0,300,0.0203850269317627,0.0272595286369324,0.0308759212493896,0.0369819402694702,0.00972241163253784,0.289927959442139,0.0355500292778015,0.00296250243981679
"MRGN","CSa","300",300,0,0,300,0.0140588283538818,0.0272172689437866,0.0319594144821167,0.0389604568481445,0.0117431879043579,0.093101978302002,0.0359104386965434,0.00299253655804528
"MRGN","CSa","670",300,0,0,300,0.0171148777008057,0.0329697728157043,0.0407125949859619,0.0565069913864136,0.0235372185707092,0.121606111526489,0.0464988605181376,0.00387490504317813
"MRGN","CSa","1000",300,0,0,300,0.0172519683837891,0.0396583080291748,0.048328161239624,0.0562645196914673,0.0166062116622925,0.297066926956177,0.053392596244812,0.004449383020401
"MRPC","CSq","all",900,0,0,900,0.00986909866333008,0.0248278975486755,0.0339009761810303,0.106865108013153,0.0820372104644775,12.0414559841156,0.180725426938799,0.0451813567346997
"MRPC","CSq","n<=300",900,0,0,900,0.00986909866333008,0.0248278975486755,0.0339009761810303,0.106865108013153,0.0820372104644775,12.0414559841156,0.180725426938799,0.0451813567346997
"MRPC","CSq","50",300,0,0,300,0.0160419940948486,0.0226953029632568,0.0281270742416382,0.0365587472915649,0.0138634443283081,0.668996810913086,0.038653237024943,0.00322110308541192
"MRPC","CSq","150",300,0,0,300,0.00986909866333008,0.0215277075767517,0.0270450115203857,0.0333780646324158,0.0118503570556641,0.124120950698853,0.0306949885686239,0.00255791571405199
"MRPC","CSq","300",300,0,0,300,0.0141379833221436,0.0846014022827148,0.194205045700073,0.433135032653809,0.348533630371094,12.0414559841156,0.472828055222829,0.0394023379352358
"MRPC","truth","all",900,103,0,797,0.0139060020446777,0.0647859573364258,0.162750005722046,0.400891065597534,0.336105108261108,168.982003927231,4.24320238626736,0.939397861626413
"MRPC","truth","n<=300",900,103,0,797,0.0139060020446777,0.0647859573364258,0.162750005722046,0.400891065597534,0.336105108261108,168.982003927231,4.24320238626736,0.939397861626413
"MRPC","truth","50",300,0,0,300,0.0193319320678711,0.0547401905059814,0.103788495063782,0.216635823249817,0.161895632743835,1.48078799247742,0.174315145810445,0.0145262621508704
"MRPC","truth","150",300,0,0,300,0.0139060020446777,0.0549743175506592,0.143255472183228,0.287577986717224,0.232603669166565,11.7420980930328,0.287510255972544,0.023959187997712
"MRPC","truth","300",300,103,0,197,0.0161690711975098,0.297336101531982,1.41180491447449,10.6284351348877,10.3310990333557,168.982003927231,16.4633740168538,0.900912411477831
"MR-GGI","none","all",1500,0,0,1500,0.00531291961669922,0.0179434418678284,0.0230355262756348,0.0304402709007263,0.0124968290328979,0.263389825820923,0.0332547408739726,0.0138561420308219
"MR-GGI","none","n<=300",900,0,0,900,0.00531291961669922,0.0163215398788452,0.021204948425293,0.0240499377250671,0.00772839784622192,0.24040699005127,0.0277362701627943,0.00693406754069858
"MR-GGI","none","50",300,0,0,300,0.00797796249389648,0.0178287029266357,0.021336555480957,0.023365318775177,0.00553661584854126,0.212193965911865,0.0249112852414449,0.00207594043678708
"MR-GGI","none","150",300,0,0,300,0.00531291961669922,0.01235032081604,0.0196059942245483,0.0224862694740295,0.0101359486579895,0.226797819137573,0.0226981210708618,0.00189151008923848
